ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.5522,1.90108,9.13841,0.13524,1.69019,9.65895,0.16287,0.1865,-0.29723,0.03593,-0.03471,-0.12389,15.0,-18.69,1.19,-42.213,66.566,-9.626,-0.606,1.97,1001.669,44.6253,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2,2016-09-12 09:32:16:064
0.4659,2.47359,9.399,0.0916,1.95467,9.60944,-0.14212,-0.06066,0.95505,0.61186,0.2029,0.13847,16.45,-20.462,-0.673,-41.589,69.24,-11.497,-0.546,1.97,1001.679,32.3967,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,502,2016-09-12 09:32:16:564
-0.32552,2.21928,8.58087,0.13163,1.7477,9.64876,-0.36494,0.44285,-0.90565,-0.07483,0.05928,0.02104,18.0,-19.765,0.969,-41.57,65.476,-10.598,-1.046,1.97,1001.679,46.7169,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1002,2016-09-12 09:32:17:064
0.15022,0.78004,10.39919,0.04492,1.91903,9.61695,0.69238,-0.99691,0.07622,0.01335,0.00627,-0.23645,19.0,-18.211,-0.404,-41.251,65.895,-11.112,-0.399,1.97,1001.676,22.2697,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1502,2016-09-12 09:32:17:564
-0.2274,0.74231,9.74477,0.22514,2.27165,9.53726,-0.09942,-0.35855,0.88217,-0.18517,-0.2206,-0.19148,18.45027,-19.136,-1.064,-41.534,62.71,-13.89,-1.51,1.97,1001.679,16.8335,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2002,2016-09-12 09:32:18:064
-0.28978,1.9447,10.44391,0.0394,1.889,9.62292,-0.30341,0.28148,-0.01301,0.13683,-0.02693,-0.34052,18.0,-20.018,0.005,-41.499,68.247,-11.106,-0.235,1.97,1001.669,15.9973,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2502,2016-09-12 09:32:18:564
0.34929,1.66373,9.43224,0.20874,1.37477,9.70756,0.20197,0.35121,-0.31433,-0.15306,0.06561,0.1748,16.55762,-21.826,-0.13,-39.944,73.824,-8.679,-1.327,1.97,1001.679,16.2327,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3002,2016-09-12 09:32:19:064
-0.25157,0.63197,9.37756,0.02136,1.54252,9.68455,-1.95256,-1.46093,-2.29409,-0.4778,-0.02692,0.52142,13.54863,-21.031,2.261,-40.622,66.62,-9.688,-0.559,1.97,1001.679,33.6896,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3502,2016-09-12 09:32:19:564
0.14519,-0.4232,8.36613,0.48373,1.42262,9.69085,0.42797,-1.76858,2.81919,-0.1422,0.10745,0.3383,13.0,-21.617,4.765,-41.605,60.621,-8.341,-2.858,1.97,1001.679,29.5459,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4002,2016-09-12 09:32:20:064
0.10539,1.17683,10.46521,0.79761,1.70207,9.62482,-0.89,-0.47218,0.34918,0.35959,0.13829,0.96584,14.0,-21.884,6.586,-39.935,54.027,-9.061,-4.804,1.97,1001.679,25.479,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4502,2016-09-12 09:32:20:564
0.24095,1.34982,8.58756,0.5899,0.90204,9.74724,-0.69567,0.1231,0.59579,0.08444,0.29141,1.29224,13.5493,-9.644,20.232,-40.199,17.744,-5.278,-3.463,1.97,1001.679,25.3084,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,5002,2016-09-12 09:32:21:064
0.29575,0.66061,7.33363,0.98791,0.909,9.71433,-0.2232,0.19599,-0.30935,-0.25623,-0.39015,0.10083,11.0,-4.808,20.772,-39.543,3.909,-5.701,-4.706,1.97,1001.689,39.2196,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,5502,2016-09-12 09:32:21:564
0.84868,-0.66571,14.60313,0.80832,1.29784,9.68672,-0.46118,1.05915,-0.62579,-0.2151,0.08073,0.14551,7.55202,-5.333,17.874,-38.733,3.736,-8.287,-5.071,1.97,1001.689,42.6194,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6002,2016-09-12 09:32:22:064
0.29041,2.53262,8.40756,0.8381,1.99318,9.56531,-0.11334,0.46014,-0.07564,0.25388,-0.06197,-0.50006,6.0,-3.441,13.957,-39.651,358.449,-10.75,-5.11,1.97,1001.699,41.5398,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6502,2016-09-12 09:32:22:564
