ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.48592,1.68446,9.46324,-0.0528,1.75161,9.64881,-0.06155,0.20899,-0.11869,-0.0258,-0.1384,-0.15103,12.45134,-17.729,-1.685,-42.937,73.174,-10.16,0.611,1.97,1001.71,44.448,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,2,2016-09-12 09:30:03:200
0.87016,2.53838,9.63574,0.00233,1.14528,9.73954,0.0589,1.14684,-0.78129,-0.10699,-0.14543,-0.02284,15.0,-17.393,-0.761,-43.732,74.991,-7.358,0.349,1.97,1001.699,15.5063,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,502,2016-09-12 09:30:03:700
-0.90817,1.21606,9.64821,0.01699,1.93939,9.61295,-1.03174,-1.47903,-0.23762,0.28062,0.08188,0.20148,17.45073,-17.383,-4.43,-40.857,77.987,-10.485,-0.436,1.97,1001.689,15.5421,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,1002,2016-09-12 09:30:04:200
-0.06432,2.48842,10.31216,-0.20814,1.70677,9.65474,0.13839,0.9678,0.55952,0.1631,-0.09848,-0.29601,20.0,-16.507,-3.302,-41.586,77.536,-9.581,1.295,1.97,1001.689,39.0309,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,1502,2016-09-12 09:30:04:700
0.75528,2.87909,8.00597,-0.1415,1.99578,9.60038,0.19005,0.30273,-1.41023,0.18047,-0.03217,-0.16779,19.0,-17.934,-5.162,-40.291,80.261,-11.742,0.844,1.97,1001.689,15.5026,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,2002,2016-09-12 09:30:05:200
-0.16698,1.89874,8.84569,-0.05288,1.88343,9.62394,0.03553,-0.58388,0.26401,-0.1234,-0.0211,0.31529,19.54924,-20.207,-4.315,-41.505,77.688,-11.579,0.637,1.97,1001.679,16.5803,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,2502,2016-09-12 09:30:05:700
0.89127,1.14793,9.45068,0.25717,1.55019,9.67994,-0.65724,-1.10113,2.26844,-0.06857,0.03052,0.33252,17.54962,-20.691,0.401,-42.632,70.876,-9.095,-1.522,1.97,1001.679,19.6865,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,3003,2016-09-12 09:30:06:201
0.03162,1.37372,11.49341,0.04768,1.41821,9.70344,-0.09038,0.17186,1.18362,0.18129,0.1581,0.31258,14.54819,-22.169,2.882,-42.328,67.431,-8.315,-0.282,1.97,1001.689,15.697,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,3503,2016-09-12 09:30:06:701
-0.44676,1.66922,8.33962,-0.18006,1.41954,9.70169,-0.54126,-0.49428,-1.31032,-0.05852,0.13837,0.32513,12.54866,-19.531,4.297,-42.471,64.336,-8.323,1.063,1.97,1001.695,15.4897,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,4002,2016-09-12 09:30:07:200
-1.118,0.9549,9.22296,0.24059,1.65636,9.66276,-1.23057,-1.74165,0.05121,0.10435,0.30151,0.64922,13.0,-19.823,6.821,-40.141,55.232,-8.815,-1.55,1.97,1001.699,23.1534,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,4502,2016-09-12 09:30:07:700
-0.08899,1.88173,9.63387,0.0566,2.14797,9.56836,-0.68416,-0.17535,-0.66438,0.16612,0.34319,1.21178,13.0,-14.4,11.403,-40.761,34.59,-12.637,-0.548,1.97,1001.699,16.2853,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,5003,2016-09-12 09:30:08:201
-0.86687,2.15753,9.49809,-0.44323,1.56256,9.67121,0.0586,0.73476,-0.61943,-0.23828,0.13692,0.61864,12.5488,-1.411,18.338,-41.783,6.51,-9.639,2.493,1.97,1001.699,30.1037,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,5502,2016-09-12 09:30:08:700
-0.49297,1.45023,8.86888,0.19266,2.0904,9.57933,-0.44499,-0.95054,-0.18266,0.2251,0.00784,-0.10422,8.55193,-4.808,15.414,-41.422,10.109,-12.308,-1.152,1.97,1001.71,41.0906,48.23475,16.366451,,536.5217022590825,,,89.46774,,0 / 22,6002,2016-09-12 09:30:09:200
