ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.30817,2.34319,9.23438,0.07569,2.15354,9.56697,0.09834,0.09704,0.50612,-0.23288,-0.07326,-0.04417,10.45044,-18.375,-3.02,-42.883,69.658,-12.686,-0.453,0.0,1001.739,44.5283,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,2,2016-09-12 09:29:26:131
0.15987,2.6955,9.49521,0.16711,1.8392,9.63119,-0.09496,0.75834,0.01037,-0.01224,0.01433,-0.17467,12.44792,-19.147,-1.926,-42.274,71.91,-10.729,-1.173,1.97,1001.729,15.6051,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,502,2016-09-12 09:29:26:631
0.2547,0.54988,10.12866,0.20801,2.0181,9.5945,-0.12226,-1.13041,0.65127,0.08603,0.24562,0.06712,15.44956,-19.753,-2.582,-41.801,73.111,-11.876,-1.242,1.97,1001.739,29.2461,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,1002,2016-09-12 09:29:27:131
-0.1064,2.41476,8.61864,0.06966,1.80838,9.63822,-0.60979,0.67697,-0.96275,-0.06644,-0.2226,-0.33795,18.0,-17.224,-4.562,-43.388,78.513,-11.427,0.772,1.97,1001.749,21.997,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,1502,2016-09-12 09:29:27:631
0.8736,0.83975,9.10556,0.68876,1.31949,9.69304,1.24787,-0.74037,0.23632,-0.33533,0.16043,-0.20151,18.0,-22.02,-0.624,-39.372,76.929,-7.733,-4.064,1.97,1001.749,16.9498,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,2003,2016-09-12 09:29:28:132
0.31656,2.20885,8.87785,0.01863,1.65217,9.66646,-0.04619,-0.02747,1.12832,0.34627,-0.02019,0.10988,19.5499,-20.088,-0.609,-40.045,73.875,-9.699,-0.11,1.97,1001.749,52.6105,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,2502,2016-09-12 09:29:28:631
0.6004,2.65834,9.09186,-0.06897,1.53891,9.68491,-0.68842,-0.16314,-0.2488,-0.07875,-0.04333,0.08496,18.0,-20.1,-0.357,-41.917,71.357,-9.561,0.75,1.97,1001.749,38.5923,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,3003,2016-09-12 09:29:29:132
-0.4295,0.45105,9.83379,-0.05944,1.4962,9.69166,1.21543,0.53297,-1.80172,0.05844,-0.35936,0.13956,17.0,-20.447,-0.381,-43.134,72.235,-9.09,1.303,1.97,1001.729,15.7442,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,3503,2016-09-12 09:29:29:632
-0.73079,0.48981,10.00504,-0.07181,1.63735,9.66873,0.16151,0.09043,1.45426,-0.15422,0.03873,0.47226,13.54852,-20.197,-1.222,-42.85,72.161,-10.192,0.621,1.97,1001.725,18.6331,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,4002,2016-09-12 09:29:30:131
-0.10912,1.49249,9.42059,-0.15803,1.50984,9.68844,-0.24586,-0.12777,0.0839,0.28038,-0.09125,0.08885,13.0,-18.597,1.691,-42.091,68.783,-7.942,1.236,1.97,1001.729,15.6642,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,4502,2016-09-12 09:29:30:631
-0.85294,1.65993,9.22121,-0.23166,1.7007,9.65528,-0.89505,-0.11432,-0.75189,-0.05048,0.12936,0.47253,13.0,-20.058,0.111,-40.616,71.485,-9.987,1.374,1.97,1001.719,16.4121,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,5002,2016-09-12 09:29:31:131
-0.95518,0.61845,10.03151,-0.11818,1.69006,9.6592,-0.25299,-0.72333,-0.26473,0.01245,0.22574,1.55472,13.45151,-14.54,12.975,-41.73,37.782,-9.924,0.701,1.97,1001.71,16.6247,48.23474,16.366467,,536.4369476657779,,,90.0,,1 / 22,5503,2016-09-12 09:29:31:632
