ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.45766,1.90533,9.57761,0.20453,1.75163,9.64678,0.1064,0.1394,-0.35691,-0.06966,-0.00183,0.01892,11.0,-20.009,-0.296,-43.419,67.886,-10.289,-1.215,1.97,1001.724,44.4656,,,,NaN,,,,,0 / 23,5,2016-09-12 09:36:45:998
0.60196,2.14063,9.46126,0.3413,1.49187,9.6865,0.39741,0.52005,0.14157,-0.06259,-0.02641,-0.14072,13.0,-20.09,1.123,-41.812,67.992,-8.75,-2.018,1.97,1001.739,15.5219,,,,NaN,,,,,0 / 23,505,2016-09-12 09:36:46:498
-1.16826,1.45068,7.68523,-0.10601,2.01813,9.59616,-0.48623,-1.6049,2.019,0.0591,0.18288,0.06575,15.0,-18.198,0.398,-43.199,64.51,-11.876,0.633,1.97,1001.739,44.8152,,,,NaN,,,,,0 / 23,1005,2016-09-12 09:36:46:998
-1.13446,2.10304,10.37315,-0.1172,2.34561,9.52128,-0.95712,-0.14788,0.72477,0.27191,-0.07111,0.13705,17.0,-17.038,0.15,-41.774,60.29,-13.838,0.705,1.97,1001.729,38.081,,,,NaN,,,,,0 / 23,1505,2016-09-12 09:36:47:498
-0.3102,1.39697,9.59647,-0.10749,2.21704,9.55215,-0.98502,-0.50149,0.31649,0.10754,0.32529,1.18378,17.0,-17.534,3.246,-41.667,56.188,-13.066,0.645,1.97,1001.71,16.4689,,,,NaN,,,,,0 / 23,2005,2016-09-12 09:36:47:998
0.60583,1.37866,9.65887,0.44841,1.86925,9.6164,-1.18424,-0.37891,0.05339,-0.2146,0.43996,1.69806,15.55158,-11.551,11.005,-42.819,27.607,-10.988,-2.67,1.97,1001.71,16.0169,,,,NaN,,,,,0 / 23,2505,2016-09-12 09:36:48:498
0.87924,-0.33557,11.89557,0.20317,1.90442,9.61781,0.05393,-1.35249,2.00007,-0.09305,0.25049,0.3942,15.0,-0.648,12.297,-42.282,0.324,-11.198,-1.21,1.97,1001.71,15.459,,,,NaN,,,,,0 / 23,3005,2016-09-12 09:36:48:998
0.03767,2.58096,10.50104,0.29932,2.42634,9.49704,0.19431,0.57611,-0.34521,0.25618,0.1694,0.28821,13.0,-0.746,10.808,-41.435,359.196,-14.325,-1.805,1.97,1001.719,15.5084,,,,NaN,,,,,0 / 23,3505,2016-09-12 09:36:49:498
-0.67758,2.793,9.28,0.0624,2.36605,9.51674,-0.51813,0.66845,-1.23083,-0.03525,0.03615,0.14595,12.0,3.92,10.333,-40.712,347.707,-13.962,-0.376,1.97,1001.719,15.7816,,,,NaN,,,,,0 / 23,4005,2016-09-12 09:36:49:998
-0.50772,1.28256,7.99564,-0.03004,2.28238,9.53731,-0.63489,-0.87654,-1.61831,-0.28773,-0.18488,-0.10776,11.55029,4.34,10.072,-39.845,349.866,-14.538,0.677,1.97,1001.719,35.4742,,,,NaN,,,,,0 / 23,4505,2016-09-12 09:36:50:498
-0.54698,1.57803,7.97342,-0.28724,2.48429,9.48241,-0.49876,-1.56675,3.00601,0.34331,0.29588,0.29535,11.45151,6.903,11.507,-38.683,344.888,-14.674,1.735,1.97,1001.719,25.9756,,,,NaN,,,,,0 / 23,5005,2016-09-12 09:36:50:998
-0.44998,0.79388,14.10765,-0.58119,2.36681,9.49899,0.38655,1.02294,0.99793,-0.07455,-0.06415,-0.33351,12.0,5.943,11.92,-37.352,349.762,-13.966,3.501,1.97,1001.719,39.4619,,,,NaN,,,,,0 / 23,5505,2016-09-12 09:36:51:498
-0.45694,2.9138,9.94865,-0.29628,2.44252,9.49298,-0.12921,0.50728,0.2396,0.24371,0.13232,0.14836,14.0,1.367,16.254,-39.102,0.493,-14.422,1.788,1.97,1001.719,47.2014,,,,NaN,,,,,0 / 23,6005,2016-09-12 09:36:51:998
-0.44389,2.61632,9.25139,-0.22704,2.28886,9.5331,-0.14033,0.59752,-1.48382,0.12682,0.03011,-0.2206,24.80615,4.456,17.59,-38.353,353.313,-13.497,1.364,1.97,1001.719,48.8458,,,,NaN,,,,,0 / 23,6505,2016-09-12 09:36:52:498
0.00253,2.40036,7.22281,-0.14891,2.44718,9.49524,0.15268,-1.02312,-1.14017,-0.27792,-0.07635,-0.14569,41.45107,1.765,17.508,-41.606,357.25,-14.45,0.898,1.97,1001.711,46.3659,,,,NaN,,,,,0 / 23,7005,2016-09-12 09:36:52:998
-1.20143,1.64581,7.44885,-0.37366,2.49126,9.47757,-0.90602,-0.99711,-1.78617,-0.09706,0.05113,0.26376,46.45056,3.072,17.603,-41.913,357.264,-14.717,2.258,1.97,1001.719,44.8866,,,,NaN,,,,,0 / 23,7505,2016-09-12 09:36:53:498
0.01845,0.29352,11.85416,-0.59382,2.43954,9.47979,0.16431,0.47182,2.20064,0.01825,-0.11324,-0.13913,51.89566,4.739,18.748,-41.322,355.16,-14.404,3.584,1.97,1001.71,45.7194,,,,NaN,,,,,0 / 23,8006,2016-09-12 09:36:53:999
0.1586,2.07202,11.45364,-0.23085,1.97044,9.60388,0.34752,0.00817,1.4154,0.33601,0.18874,0.1008,56.90268,0.905,21.396,-42.134,0.019,-11.591,1.377,1.97,1001.719,46.0767,,,,NaN,,,,,0 / 23,8506,2016-09-12 09:36:54:499
-0.45018,2.09714,10.24966,-0.16581,1.66727,9.66246,-0.299,0.46451,0.42928,0.02881,-0.09868,-0.12666,63.45137,1.68,21.332,-41.766,357.758,-9.734,1.243,1.97,1001.719,43.0259,,,,NaN,,,,,0 / 23,9005,2016-09-12 09:36:54:998
-0.81119,2.00801,7.84929,-0.35227,1.56175,9.67508,-0.40971,-1.12035,0.37296,-0.05243,0.06279,-0.114,69.45001,1.547,22.849,-41.994,359.083,-9.164,2.085,1.97,1001.719,45.4391,,,,NaN,,,,,0 / 23,9505,2016-09-12 09:36:55:498
-1.88876,0.54846,7.46906,-0.7175,2.06017,9.56092,-1.18842,-1.54216,-1.79401,0.18747,0.18378,0.09633,73.90241,4.344,20.357,-42.555,358.457,-12.127,4.292,1.97,1001.719,47.4303,,,,NaN,,,,,0 / 23,10005,2016-09-12 09:36:55:998
-2.01002,1.92728,10.18727,-0.54076,2.1199,9.5595,-0.38206,0.11037,0.65579,0.2749,0.10838,0.36841,79.45182,8.247,17.538,-40.349,347.715,-12.484,3.238,1.97,1001.71,31.7243,,,,NaN,,,,,0 / 23,10505,2016-09-12 09:36:56:498
-0.18886,1.27777,9.79634,-0.34329,1.69345,9.65323,0.17054,-0.67119,0.53388,-0.32883,0.28114,2.11786,81.45151,16.426,7.031,-38.123,312.789,-9.944,2.037,1.97,1001.71,32.0089,,,,NaN,,,,,0 / 23,11005,2016-09-12 09:36:56:998
-0.36215,2.11275,9.76302,-0.19833,2.22874,9.54797,-0.25617,0.1626,-2.11331,0.37666,0.30167,0.77,77.54846,18.796,-6.917,-37.755,275.98,-13.136,1.19,1.97,1001.71,36.311,,,,NaN,,,,,0 / 23,11505,2016-09-12 09:36:57:498
-0.47046,0.84836,12.1595,-0.3225,2.33852,9.51828,0.21829,1.09514,0.27727,-0.32631,0.52742,0.11978,72.54917,18.512,-11.421,-37.041,264.489,-13.796,1.941,1.97,1001.71,41.4627,,,,NaN,,,,,0 / 23,12005,2016-09-12 09:36:57:998
0.25308,2.74266,9.52701,-0.20888,2.38971,9.50874,0.89164,0.59272,0.63775,0.21797,0.05287,0.06735,70.0,17.192,-11.072,-36.279,263.637,-14.104,1.258,1.97,1001.699,47.3034,,,,NaN,,,,,0 / 23,12505,2016-09-12 09:36:58:498
-0.23663,2.81676,8.33727,-0.12592,2.53761,9.4718,-0.07173,0.22221,-1.15058,0.10988,-0.07483,0.04077,75.45087,17.191,-13.135,-35.506,259.091,-14.997,0.762,1.97,1001.699,50.8187,,,,NaN,,,,,0 / 23,13006,2016-09-12 09:36:58:999
-0.34778,1.26503,9.18655,-0.00208,2.63128,9.44705,0.12599,-1.11201,-0.06268,-0.1362,-0.11893,-0.16254,74.09705,16.351,-12.628,-36.313,259.85,-15.564,0.013,1.97,1001.71,51.1733,,,,NaN,,,,,0 / 23,13505,2016-09-12 09:36:59:498
-1.10347,0.86638,11.42807,-0.10085,3.11411,9.29852,-1.14917,-0.92042,0.25648,-0.33305,-0.19868,0.44797,63.09827,16.92,-15.575,-35.225,256.468,-18.515,0.621,1.97,1001.701,48.9339,,,,NaN,,,,,0 / 23,14006,2016-09-12 09:36:59:999
-0.73753,2.50832,9.03522,-0.44932,2.86783,9.36718,-0.13373,-0.25603,-0.83656,0.14723,0.04442,-0.18753,58.76093,16.669,-17.557,-34.29,245.354,-17.004,2.746,1.97,1001.71,48.9341,,,,NaN,,,,,0 / 23,14505,2016-09-12 09:37:00:498
