ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.36536,1.45322,9.37531,0.02371,1.32736,9.71637,-0.02199,0.16466,-0.20714,-0.09128,0.01875,-0.07085,14.0,-18.697,2.115,-41.626,67.244,-8.071,-0.261,1.97,1001.71,44.3898,,,,NaN,,,,,0 / 22,2,2016-09-12 09:37:14:586
0.22676,2.10228,9.33745,0.02272,1.53651,9.68551,0.30508,0.69726,-0.16621,-0.02243,0.0517,-0.06255,14.45059,-18.437,1.895,-42.812,64.207,-8.774,-0.398,1.97,1001.71,15.583,,,,NaN,,,,,0 / 22,502,2016-09-12 09:37:15:086
-0.76476,2.08348,8.12822,0.03564,2.18243,9.56065,-0.78004,-0.51152,0.2143,-0.47006,-0.04913,0.06935,17.0,-19.029,-2.266,-43.239,67.938,-12.859,-0.214,1.97,1001.71,19.0686,,,,NaN,,,,,0 / 22,1002,2016-09-12 09:37:15:586
-0.23701,2.71991,9.60326,0.12668,2.28864,9.53501,-0.82873,0.27736,0.836,0.11006,0.02281,0.42915,19.0,-17.81,1.251,-41.989,58.163,-13.496,-0.761,1.97,1001.719,19.0957,,,,NaN,,,,,0 / 22,1502,2016-09-12 09:37:16:086
-0.83418,2.14722,9.87202,-0.14866,2.17981,9.56016,-0.29574,0.32829,-0.66444,-0.19351,0.12263,0.78012,19.0,-17.02,2.01,-41.997,57.042,-13.345,1.137,1.97,1001.719,17.3868,,,,NaN,,,,,0 / 22,2002,2016-09-12 09:37:16:586
-0.65181,0.88376,8.46754,0.22965,1.94632,9.60882,-2.12087,-1.39969,-0.45066,-0.28035,0.18988,1.89015,17.0,-9.868,11.139,-42.314,25.654,-12.746,-0.527,1.97,1001.719,18.0267,,,,NaN,,,,,0 / 22,2502,2016-09-12 09:37:17:086
-0.0303,1.36821,7.2699,0.45204,1.78543,9.63215,-1.18614,-1.8599,-0.37184,0.61241,-0.06995,-0.01115,16.0,-0.952,13.634,-41.826,357.603,-8.413,-2.506,1.97,1001.734,33.9959,,,,NaN,,,,,0 / 22,3002,2016-09-12 09:37:17:586
-0.94339,3.14908,9.46211,-0.08542,2.06921,9.58548,-0.64691,0.89576,0.21079,0.10847,-0.06541,0.23332,14.54866,1.616,12.622,-40.105,356.054,-11.353,0.827,1.97,1001.729,15.6646,,,,NaN,,,,,0 / 22,3502,2016-09-12 09:37:18:086
-0.79848,2.98125,10.68871,0.00841,1.90462,9.61991,-0.34962,0.76322,-1.11011,-0.09265,0.06685,0.29169,13.0,4.34,11.548,-39.574,348.332,-11.199,-0.05,1.97,1001.719,15.58,,,,NaN,,,,,0 / 22,4002,2016-09-12 09:37:18:586
-0.02388,2.21338,9.29498,0.23314,1.70835,9.65389,-0.64302,-0.05788,-1.86504,-0.30142,-0.05835,-0.22661,12.5488,3.487,12.448,-38.365,348.37,-11.09,-1.396,1.97,1001.725,19.6737,,,,NaN,,,,,0 / 22,4502,2016-09-12 09:37:19:086
0.58818,1.25691,8.69939,0.10245,1.42998,9.70129,-0.08921,-0.43927,-0.78448,-0.1628,-0.12909,0.28571,12.0,5.89,14.517,-36.694,342.466,-8.385,-0.605,1.97,1001.729,39.1031,,,,NaN,,,,,0 / 22,5002,2016-09-12 09:37:19:586
0.64877,0.45168,7.46263,0.16806,1.78862,9.64069,-0.14588,-1.88331,3.21073,0.08961,-0.25296,-0.51686,12.45171,5.356,15.155,-36.542,345.76,-10.12,-0.612,1.97,1001.729,35.4527,,,,NaN,,,,,0 / 22,5503,2016-09-12 09:37:20:087
-0.31213,0.91187,11.19832,0.15811,1.73797,9.65012,-0.6241,-0.18813,1.05458,-0.13637,-0.05363,0.10373,15.45056,4.387,17.232,-36.821,349.133,-10.635,-0.8,1.97,1001.729,30.8572,,,,NaN,,,,,0 / 22,6003,2016-09-12 09:37:20:587
-0.08586,1.38574,11.30913,0.2249,1.43629,9.69829,-0.30404,0.37554,1.82029,0.46811,0.12488,0.04819,25.79437,3.16,21.495,-37.004,350.871,-7.562,-1.745,1.97,1001.729,44.9251,,,,NaN,,,,,0 / 22,6502,2016-09-12 09:37:21:086
-0.04443,1.55759,11.00476,0.10978,1.03001,9.75179,0.08569,0.88465,-0.40859,-0.11732,0.24435,-0.22241,50.90052,1.427,22.63,-37.743,356.958,-6.029,-0.645,1.97,1001.729,46.4912,,,,NaN,,,,,0 / 22,7003,2016-09-12 09:37:21:587
0.26541,1.61873,8.05731,0.0866,1.2301,9.72881,0.05959,0.19928,-2.12218,0.14624,-0.13986,-0.10364,53.0,3.645,23.895,-39.906,351.924,-6.593,-0.049,1.97,1001.729,50.747,,,,NaN,,,,,0 / 22,7503,2016-09-12 09:37:22:087
