ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.53619,1.67903,9.53307,0.1705,1.69407,9.65772,0.53701,-0.11798,0.18196,-0.06836,0.00279,-0.20959,14.0,-18.352,0.279,-42.57,65.488,-10.352,-1.205,1.97,1001.65,44.5713,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3,2016-09-12 09:33:41:299
0.17915,2.54822,10.04961,0.07251,1.62624,9.6706,0.5438,0.83463,0.16307,0.01662,0.14937,-0.03075,16.0,-19.234,0.868,-41.718,66.845,-9.54,-0.486,1.97,1001.669,17.4034,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,504,2016-09-12 09:33:41:800
-0.03625,2.08861,9.12799,-0.08411,1.85237,9.62975,-0.14853,-0.25921,-0.01268,-0.12411,-0.06264,0.40659,18.0,-18.12,-0.453,-42.464,66.516,-11.276,1.032,1.97,1001.679,49.1544,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1004,2016-09-12 09:33:42:300
-0.27757,1.67542,8.5872,0.24126,2.57276,9.46008,-0.21586,-2.23109,2.00672,0.26323,-0.0098,0.50778,17.0,-18.243,-0.072,-41.251,57.319,-15.209,-1.461,1.97,1001.672,15.4932,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1504,2016-09-12 09:33:42:800
-0.15846,0.9855,9.05614,0.30235,2.28782,9.53126,-0.57172,-1.62456,-0.48517,0.18718,0.47351,2.02238,16.0,-12.57,8.472,-42.561,34.431,-13.45,-1.029,1.97,1001.679,15.4277,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2003,2016-09-12 09:33:43:299
0.09605,2.95815,9.35959,0.38281,1.76181,9.6395,-0.20412,1.19013,0.35207,0.02972,0.05324,0.19739,15.0,-3.214,13.089,-41.724,3.622,-10.113,-2.346,1.97,1001.679,31.0313,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2503,2016-09-12 09:33:43:799
-0.12422,2.73476,8.27992,0.27854,2.40689,9.50261,-0.71474,-0.31766,-2.179,-0.14195,-0.05969,0.18008,13.0,-1.553,8.859,-42.496,2.924,-14.625,-1.381,1.97,1001.679,17.1787,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3003,2016-09-12 09:33:44:299
-0.79596,2.10025,7.63155,-0.60788,2.87038,9.35745,-1.13926,-1.02689,-0.55136,0.0464,-0.12729,0.05136,12.0,2.893,7.965,-39.116,358.661,-16.926,3.747,1.97,1001.669,32.28,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3504,2016-09-12 09:33:44:800
-0.15584,0.91815,10.5618,-0.13028,2.17795,9.56086,0.11098,-1.00009,1.20019,-0.28757,0.15483,0.00873,11.0,2.985,11.186,-39.928,352.868,-12.832,0.781,1.97,1001.669,36.9176,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4003,2016-09-12 09:33:45:299
0.6626,2.4751,10.18498,-0.17576,1.85869,9.62729,0.54607,0.37163,-0.11939,0.20509,-0.14877,0.0446,11.0,3.459,13.907,-38.992,353.826,-10.926,1.046,1.97,1001.669,15.7755,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4503,2016-09-12 09:33:45:799
-0.57179,2.13849,8.92723,-0.0731,1.80199,9.63939,0.30938,-0.05072,-1.47916,-0.03595,-0.09125,0.14883,11.45107,4.295,14.066,-38.109,350.636,-10.738,0.848,1.97,1001.669,34.2955,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,5004,2016-09-12 09:33:46:300
0.03351,1.56346,8.21645,0.09826,1.67943,9.66128,-0.02433,-0.8182,-1.14044,-0.16132,-0.03059,-0.07315,12.45198,3.212,15.936,-38.321,351.352,-9.861,-0.583,1.97,1001.669,56.9654,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,5503,2016-09-12 09:33:46:799
-0.51256,0.62854,8.66664,0.08275,1.65144,9.66624,-0.24955,-1.1662,2.58699,-0.04611,-0.07846,0.02196,17.35452,2.051,18.285,-38.188,354.498,-9.695,-0.49,1.97,1001.673,55.7422,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6003,2016-09-12 09:33:47:299
-0.36203,0.77223,12.00095,0.04762,1.6939,9.65913,-0.24047,0.19662,2.51608,0.16515,-0.00249,-0.06668,37.27208,3.055,19.998,-38.612,352.484,-9.424,-0.654,1.97,1001.679,56.7651,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6503,2016-09-12 09:33:47:799
0.41553,1.14032,11.01714,0.11302,1.28597,9.72131,0.21027,0.48462,-0.46279,0.10403,0.2058,-0.06358,45.45107,2.556,23.09,-37.808,352.938,-7.535,-0.666,1.97,1001.679,59.1352,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,7004,2016-09-12 09:33:48:300
0.05673,2.04541,8.58496,0.25716,1.39093,9.7041,-0.16815,0.1843,-1.69878,0.05791,-0.03085,0.10075,49.0,2.24,22.235,-39.143,353.934,-7.871,-1.298,1.97,1001.679,60.0421,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,7503,2016-09-12 09:33:48:799
-0.16724,1.22209,9.12442,-0.10263,1.47766,9.69414,-0.18917,-0.29634,-0.52444,-0.03973,-0.01749,-0.16017,51.44943,1.065,21.686,-39.928,358.186,-8.974,0.164,1.97,1001.679,53.538,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,8003,2016-09-12 09:33:49:299
-0.4722,0.56206,10.03079,-0.12418,1.73861,9.6505,-0.06283,-1.47451,0.87118,-0.32239,-0.24188,-0.33466,54.45137,1.907,19.873,-40.485,356.742,-11.126,0.635,1.97,1001.679,42.8411,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,8504,2016-09-12 09:33:49:800
-0.69757,1.8493,11.53134,-0.17226,1.99522,9.59999,0.34662,1.16508,-0.06945,-0.31259,-0.1095,-0.07613,61.4511,0.56,19.337,-42.017,359.48,-11.739,1.028,1.97,1001.679,46.5651,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,9003,2016-09-12 09:33:50:299
0.87787,1.77788,11.02809,-0.26965,1.56485,9.67724,1.34753,-0.08987,1.13269,0.00575,-0.20973,0.12788,66.90235,2.672,22.844,-40.977,356.369,-9.182,1.596,1.97,1001.67,38.0648,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,9503,2016-09-12 09:33:50:799
