ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.84015,2.93282,9.84953,0.26451,3.19487,9.26786,-0.21757,0.11019,-0.8481,0.07104,0.12163,0.09882,12.0,-20.5,-6.076,-41.188,68.007,-19.195,-1.636,1.97,1001.719,44.4845,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3,2016-09-12 09:33:09:071
0.48177,3.04398,9.12886,0.22018,2.35187,9.51791,0.19169,0.93106,-0.76668,-0.26595,-0.05696,-0.19081,14.0,-20.029,-3.137,-41.681,69.089,-13.876,-1.325,1.97,1001.719,15.4886,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,503,2016-09-12 09:33:09:571
0.10844,0.76944,11.01354,0.04706,2.0,9.60043,-0.08012,-1.25666,1.39866,0.05612,0.10684,0.17613,16.44991,-19.351,-1.045,-41.832,67.968,-11.768,-0.281,1.97,1001.719,32.5252,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1004,2016-09-12 09:33:10:072
-0.90529,2.60068,9.87547,-0.05788,2.24569,9.54588,-0.47087,0.37676,-0.21929,0.1093,-0.10995,0.29436,17.0,-19.002,1.569,-41.443,61.063,-12.598,0.833,1.97,1001.719,43.5015,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,1503,2016-09-12 09:33:10:571
-0.63162,0.71608,9.19835,0.52145,2.35246,9.50602,-1.94428,-1.09873,0.14396,0.02168,0.57494,2.11139,16.0,-17.889,5.415,-42.082,44.47,-14.553,-3.549,1.97,1001.71,18.9118,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2003,2016-09-12 09:33:11:071
-0.4192,0.85063,12.23528,0.37849,1.80409,9.63184,-1.1223,-0.52172,2.04245,-0.08768,0.25179,0.32835,15.0,-4.552,14.297,-42.36,8.841,-10.601,-2.25,1.97,1001.71,19.0325,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,2503,2016-09-12 09:33:11:571
-0.7845,1.96997,11.41228,0.17372,1.8841,9.62239,-0.25562,0.63576,0.27319,0.33127,0.12216,0.11601,14.0,0.522,14.021,-41.814,354.761,-10.085,-1.28,1.97,1001.71,23.609,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3004,2016-09-12 09:33:12:072
0.2748,1.96634,8.79887,0.21697,1.54505,9.68174,-0.18823,-0.31293,-0.34634,-0.02715,-0.06183,0.19081,13.0,1.833,12.749,-40.514,351.397,-9.065,-1.284,1.97,1001.71,34.8376,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,3504,2016-09-12 09:33:12:572
0.61211,0.83881,9.6618,0.54535,1.56237,9.66602,-0.95401,-1.02694,-1.26699,0.00449,-0.02844,0.40981,12.54894,1.505,13.947,-39.604,347.401,-8.871,-3.536,1.97,1001.699,38.9328,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4003,2016-09-12 09:33:13:071
0.82056,0.92102,8.2776,0.14999,1.72705,9.65221,-0.94004,-1.63408,1.71256,-0.49164,0.47176,-0.24881,12.0,1.724,13.556,-38.586,352.806,-10.143,-0.89,1.97,1001.699,38.7401,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,4504,2016-09-12 09:33:13:572
0.49802,1.95721,10.77202,0.54117,1.82541,9.62005,0.18884,0.30086,0.70084,0.1237,0.07506,0.05997,12.0,1.476,15.495,-38.222,351.819,-10.728,-3.22,1.97,1001.71,37.5079,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,5004,2016-09-12 09:33:14:072
0.81831,2.3549,10.06401,0.66131,1.79466,9.61833,0.0656,0.56629,0.20702,0.09329,-0.00531,-0.20302,13.45181,2.556,16.975,-37.428,346.113,-10.037,-4.227,1.97,1001.71,45.7261,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,5503,2016-09-12 09:33:14:571
0.12773,2.14244,8.85297,0.21649,1.62326,9.66895,-0.41396,-0.28155,-2.04416,0.0899,-0.06099,-0.22307,19.90268,2.269,19.78,-38.744,353.717,-10.11,-1.353,1.97,1001.719,49.9793,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6004,2016-09-12 09:33:15:072
-0.45715,1.20056,8.84415,-0.28597,1.96965,9.60256,-0.32422,-1.35118,-1.12072,0.38982,0.13365,0.01399,40.35361,5.098,19.324,-38.559,350.965,-10.572,1.305,1.97,1001.719,51.8941,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,6504,2016-09-12 09:33:15:572
0.8526,1.20502,12.07967,0.12239,2.00445,9.59883,0.73508,-1.12149,2.79001,-0.44795,0.1149,-0.0246,44.89313,2.336,17.226,-40.855,354.316,-13.472,-0.832,1.97,1001.716,57.2666,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,7004,2016-09-12 09:33:16:072
0.45189,1.8992,10.6282,0.21477,1.76517,9.64409,0.42095,0.43985,0.76326,0.17535,-0.09444,0.00616,50.0,2.194,21.516,-41.409,354.267,-10.37,-1.276,1.97,1001.7,55.3752,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,7504,2016-09-12 09:33:16:572
-0.42719,2.78449,9.30148,0.26587,1.80179,9.63604,-0.14144,0.90725,-1.76577,0.00665,-0.16539,0.05133,53.0,2.216,19.139,-41.414,354.195,-10.638,-0.933,1.97,1001.699,55.9393,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,8003,2016-09-12 09:33:17:071
-0.51042,2.19635,7.08904,0.12755,1.85072,9.62959,0.8114,-0.89842,-0.51659,-0.04681,-0.03293,-0.38478,56.54863,1.685,20.38,-42.345,354.88,-11.358,-0.679,1.97,1001.699,56.065,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,8504,2016-09-12 09:33:17:572
-0.04506,-0.37106,11.07536,0.15047,1.6661,9.66291,-0.43065,-2.09212,2.15052,0.43362,0.38565,0.27081,61.0,-1.338,22.165,-41.89,359.895,-10.261,-1.437,1.97,1001.699,51.3564,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,9004,2016-09-12 09:33:18:072
0.2384,2.95914,8.88054,0.36519,2.04219,9.5847,0.08065,1.31515,0.49756,0.07498,-0.06906,-0.02184,66.44751,-0.841,19.803,-42.601,358.836,-11.846,-2.101,1.97,1001.699,47.8555,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,9503,2016-09-12 09:33:18:571
0.74107,1.65997,10.1628,0.08143,1.59396,9.6759,-0.25148,0.39973,-0.4502,-0.16493,0.14868,0.42331,72.90042,1.357,21.59,-42.583,356.919,-9.976,-0.756,1.97,1001.689,46.3032,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,10003,2016-09-12 09:33:19:071
-1.11363,0.21808,11.00641,0.20402,1.89134,9.62037,-1.896,-0.62006,-0.52502,-0.21634,-0.12018,0.99544,76.55644,10.484,14.864,-39.191,334.004,-11.12,-1.215,1.97,1001.689,41.4074,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,10504,2016-09-12 09:33:19:572
1.37238,0.71733,8.62981,0.93441,1.85328,9.5845,0.63475,-2.25313,1.92866,-0.28403,-0.21516,1.53848,77.55005,15.228,1.527,-38.721,297.805,-11.374,-4.248,1.97,1001.679,40.7581,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,11003,2016-09-12 09:33:20:071
1.45628,3.07071,9.08441,0.58392,2.2961,9.51616,0.48796,0.79123,0.37484,0.21922,0.08371,0.20775,74.09882,16.252,-9.756,-38.513,265.627,-12.715,-3.581,1.97,1001.679,42.0279,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,11503,2016-09-12 09:33:20:571
-0.25223,2.78694,7.6991,0.25536,2.53229,9.47062,-0.40084,-0.53583,-0.67908,-0.05154,-0.15291,0.16783,71.55066,17.403,-12.169,-35.982,262.332,-14.965,-1.545,1.97,1001.671,46.8113,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,12003,2016-09-12 09:33:21:071
0.29886,0.79282,9.86243,-0.08692,1.89849,9.62074,0.98655,-1.11782,-1.0264,0.37094,-0.33795,-0.30974,72.0,17.54,-10.185,-37.01,261.574,-11.162,0.518,1.97,1001.671,45.9812,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,12503,2016-09-12 09:33:21:571
-1.85097,3.34016,9.32649,-0.97653,2.27002,9.49019,0.40122,0.19416,1.28483,0.4277,0.15488,-0.06131,75.90274,20.119,-9.164,-34.601,265.48,-11.779,5.316,1.97,1001.679,42.8004,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,13004,2016-09-12 09:33:22:072
-0.48718,2.08578,9.08617,-0.54613,1.9563,9.59401,-0.24598,-0.24518,-0.08676,0.16393,0.04057,0.04861,80.19531,19.394,-8.907,-36.275,264.931,-11.406,3.257,1.97,1001.679,49.3118,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,13504,2016-09-12 09:33:22:572
0.51802,1.26762,8.74788,0.30227,1.88038,9.61994,0.27373,-0.70999,-0.7353,-0.08202,-0.00444,-0.02527,65.54894,16.368,-9.029,-38.943,265.169,-11.055,-1.8,1.97,1001.689,39.5715,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,14003,2016-09-12 09:33:23:071
-0.95872,1.48209,9.81783,-0.11525,1.89786,9.62056,-0.26877,-1.19287,0.90884,-0.17084,-0.10229,0.26848,53.76551,20.01,-11.267,-36.929,259.61,-11.159,0.686,1.97,1001.685,43.7005,48.234715,16.366411,,536.5394240438864,,,75.935486,,0 / 22,14504,2016-09-12 09:33:23:572
