ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.68587,2.22052,9.53978,-0.074,1.91458,9.61766,0.16676,0.22436,0.26831,-0.10672,-0.03467,-0.05602,14.0,-17.494,0.096,-42.86,64.223,-11.258,0.441,1.97,1001.689,26.3483,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,4,2016-09-12 09:34:49:557
0.43417,2.67767,9.2357,0.06052,1.93369,9.61393,0.48688,0.46157,-0.28473,0.01585,-0.07387,-0.08054,14.0,-17.235,-0.249,-41.501,64.46,-11.135,-0.03,1.97,1001.68,26.3483,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,104,2016-09-12 09:34:49:657
0.18556,2.13953,9.41718,0.09781,1.82872,9.63414,0.18284,0.26033,-0.30342,-0.09592,-0.03432,-0.08299,14.0,-18.398,-0.665,-42.558,67.013,-11.372,-0.361,1.97,1001.679,26.3483,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,204,2016-09-12 09:34:49:757
0.40913,2.70313,9.09724,0.074,1.79613,9.64048,0.08536,0.67445,-0.26157,-0.1884,-0.04839,-0.19337,14.44963,-18.9,0.475,-43.054,67.059,-10.554,-0.44,1.97,1001.679,26.3483,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,304,2016-09-12 09:34:49:857
0.66154,2.60712,9.86012,0.03262,1.89567,9.62163,0.04673,0.68817,0.20459,0.04546,0.02301,-0.10526,15.0,-17.642,-0.621,-42.705,67.645,-11.146,-0.194,1.97,1001.679,39.6164,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,404,2016-09-12 09:34:49:957
0.10486,2.96063,9.55824,0.14305,2.06749,9.58517,0.64676,0.66621,-0.1065,0.11583,-0.03691,0.02702,15.0,-18.193,-1.468,-42.516,67.645,-11.146,-0.194,1.97,1001.679,39.6164,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,504,2016-09-12 09:34:50:057
0.18578,2.83264,10.50105,0.0928,2.33395,9.52441,-0.10749,0.50063,0.51532,0.18272,0.08015,0.07564,15.0,-18.507,-2.028,-42.334,66.464,-13.768,-0.558,1.97,1001.689,39.6164,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,605,2016-09-12 09:34:50:158
0.3316,2.54434,9.23067,-0.0232,2.50895,9.48024,0.34878,0.10368,0.36829,0.32373,0.19714,0.13112,15.0,-17.882,-2.37,-41.252,65.944,-13.768,-0.558,1.97,1001.689,20.7745,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,705,2016-09-12 09:34:50:258
-0.99512,1.46844,9.53233,-0.12196,2.62837,9.44707,-0.38637,-0.7205,0.14674,0.09288,0.0186,0.00333,15.45,-17.97,-2.092,-41.029,64.095,-15.546,0.74,1.97,1001.689,20.7745,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,804,2016-09-12 09:34:50:357
-1.17334,1.94127,8.34398,-0.15209,2.66626,9.43601,-0.69093,-1.08171,-0.00662,0.10431,0.07874,0.19144,16.0,-17.513,-3.465,-42.441,65.649,-15.776,0.923,1.97,1001.689,20.7745,48.234737,16.366467,,536.4249329019801,,,64.51613,,0 / 23,904,2016-09-12 09:34:50:457
