ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.45587,2.28307,10.0,0.57486,1.19043,9.71714,-0.49265,0.97039,-0.03408,-0.21445,0.02527,0.01207,14.45,-19.71,3.003,-42.531,64.446,-6.972,-3.386,1.97,1001.749,44.2859,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,4,2016-09-12 09:40:41:697
0.83794,0.75345,8.13216,0.17132,1.56678,9.67917,0.06731,-1.68312,0.80162,0.16933,0.32079,-0.13393,17.44742,-19.284,-2.919,-40.746,77.949,-9.354,-1.711,1.97,1001.747,18.3156,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,504,2016-09-12 09:40:42:197
0.12756,2.14996,8.64127,-0.08556,1.54897,9.68317,0.59985,0.27906,1.13376,0.22758,-0.07114,-0.1232,19.0,-18.927,-1.52,-41.983,77.58,-8.579,0.488,1.97,1001.739,30.8871,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,1004,2016-09-12 09:40:42:697
0.09602,1.94565,10.39493,-0.04854,1.43441,9.70106,-0.26573,0.57673,0.49351,0.05231,0.10774,-0.05539,19.0,-19.575,-2.098,-40.858,79.182,-8.079,-0.212,1.97,1001.739,15.4917,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,1504,2016-09-12 09:40:43:197
-0.58734,2.21077,8.55321,0.02955,1.87621,9.62545,0.02776,-0.16406,-2.39516,-0.04704,0.1723,-0.09074,18.55017,-20.598,-3.004,-39.815,77.207,-10.838,-0.854,1.97,1001.719,35.8352,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,2004,2016-09-12 09:40:43:697
-1.05284,1.60097,7.7455,0.19041,1.38732,9.70616,-1.34723,0.10704,-1.02667,-0.02209,1.7E-4,0.48613,18.55216,-20.755,4.237,-41.821,63.726,-8.133,-1.124,1.97,1001.729,36.3218,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,2504,2016-09-12 09:40:44:197
1.112,0.13326,9.00771,0.49664,1.6291,9.65763,0.3764,-1.4782,-0.4654,0.08347,0.16841,0.45609,14.54907,-21.172,7.477,-40.9,53.285,-9.634,-3.17,1.97,1001.729,20.9502,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,3004,2016-09-12 09:40:44:697
-0.30263,0.33727,12.64433,0.7956,1.8446,9.59869,-0.69453,-0.2297,1.7846,-0.10687,-0.00554,1.0854,15.0,-19.397,11.214,-40.797,39.615,-10.842,-4.738,1.97,1001.729,15.51,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,3505,2016-09-12 09:40:45:198
1.37714,2.29143,11.10906,1.35118,1.70809,9.56175,-2.01868,0.80518,1.37846,0.32907,-0.14626,0.26653,14.55167,-15.187,17.735,-40.071,20.324,-10.031,-8.043,1.97,1001.719,37.4982,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,4004,2016-09-12 09:40:45:697
1.41882,1.65144,11.25491,1.11973,1.20154,9.66814,0.3082,0.45051,1.36111,0.13478,0.1783,0.7108,10.5522,-10.086,20.869,-39.07,11.953,-7.038,-6.606,1.97,1001.719,23.0535,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,4504,2016-09-12 09:40:46:197
0.74677,2.08737,9.82915,0.69504,1.10974,9.71884,-0.18588,0.87835,-2.18979,-0.09158,-0.0426,0.47041,6.54855,-2.971,17.931,-39.731,0.355,-6.498,-4.091,1.97,1001.727,42.0931,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 13,5004,2016-09-12 09:40:46:697
