ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.24873,2.53885,9.12074,-0.46849,2.17772,9.55031,0.55168,0.46474,-1.59832,-0.00517,-0.14586,-0.02058,13.55003,-16.827,-1.79,-43.939,68.439,-13.075,3.462,1.97,1001.739,43.9635,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,2,2016-09-12 09:40:04:069
0.22751,2.08208,10.60486,0.2718,1.43408,9.69742,0.1688,0.68866,1.03467,0.27217,0.0239,-0.16217,17.0,-19.67,-0.221,-42.02,71.703,-8.409,-1.605,1.97,1001.739,23.3484,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,502,2016-09-12 09:40:04:569
-0.16965,2.70752,9.06715,-0.31066,1.72395,9.64893,0.28592,0.84722,-1.38529,0.02911,0.27837,0.01205,19.44614,-18.08,-1.343,-41.589,70.708,-9.779,-0.491,1.97,1001.749,20.0715,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,1002,2016-09-12 09:40:05:069
-0.1683,1.1647,8.89752,-0.24186,2.17633,9.55905,0.29536,-0.83402,-0.77178,-0.20015,-0.00603,-0.44901,21.0,-18.597,-4.907,-41.296,78.394,-12.822,1.449,1.97,1001.749,30.0613,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,1502,2016-09-12 09:40:05:569
-1.15405,1.31033,8.37543,-0.15741,2.49487,9.48268,-0.89372,-0.90583,-1.77923,-0.05937,0.14696,0.29297,20.0,-20.753,-4.955,-41.075,75.751,-14.738,0.951,1.97,1001.739,23.2261,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,2002,2016-09-12 09:40:06:069
-0.35486,0.7002,13.06685,0.20556,2.53555,9.47096,0.36085,0.48802,1.56365,0.25797,-0.18431,-0.05362,18.0,-21.295,-3.543,-41.742,71.104,-14.666,-1.237,1.97,1001.749,37.1421,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,2503,2016-09-12 09:40:06:570
0.16556,2.2029,11.29775,0.11494,2.25682,9.54274,0.43549,-0.09062,0.79643,0.24306,0.05579,0.28294,15.54883,-22.273,-0.218,-42.693,65.133,-13.305,-0.69,1.97,1001.753,45.6912,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,3003,2016-09-12 09:40:07:070
-0.17693,2.49922,9.90384,0.14078,2.20693,9.55406,-0.182,0.11104,-0.94358,0.02887,0.06239,0.35655,13.44783,-21.034,1.495,-41.032,63.271,-13.005,-0.844,1.97,1001.749,49.6453,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,3502,2016-09-12 09:40:07:569
-1.42934,2.24725,8.17217,0.23139,1.89663,9.61871,-1.94008,-0.56165,-0.37827,-0.36679,0.38156,1.57024,14.0,-20.122,6.43,-40.268,51.657,-12.929,-1.617,1.97,1001.749,24.8734,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,4002,2016-09-12 09:40:08:069
-0.08617,1.11351,7.95464,0.00265,1.7191,9.6548,-1.90284,-0.36358,-5.13112,0.25517,0.39436,1.36356,14.0,-7.632,16.521,-41.383,18.465,-10.096,-0.016,1.97,1001.749,32.4561,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 21,4502,2016-09-12 09:40:08:569
