ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.57797,2.01822,10.73012,0.13798,1.54089,9.68385,0.66902,0.56824,0.30503,0.15355,0.16531,0.10892,13.4501,-20.323,0.854,-41.754,68.527,-9.04,-0.816,1.97,1001.699,44.6081,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,2,2016-09-12 09:41:15:780
-1.10065,3.05505,8.44885,-0.06869,1.78622,9.64236,0.16397,1.0584,-0.70341,-0.09564,-0.32607,-0.29916,18.0,-17.813,0.136,-42.474,67.774,-10.815,1.466,1.97,1001.689,15.5939,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,503,2016-09-12 09:41:16:281
-0.20859,0.07462,11.11388,-0.13906,1.28598,9.72097,1.78727,-0.5265,-0.8715,-0.40823,0.03224,-0.63051,20.0,-18.385,-0.211,-42.067,70.976,-8.496,-0.004,1.97,1001.699,32.1242,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,1002,2016-09-12 09:41:16:780
-0.82405,0.10568,10.57568,-0.36777,1.35193,9.70605,-0.13382,-1.78392,3.23267,-0.43199,0.28503,-0.23309,21.0,-20.105,-2.078,-39.737,79.872,-8.188,0.83,1.97,1001.699,23.1489,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,1503,2016-09-12 09:41:17:281
-0.0598,2.39723,10.54993,-0.2532,1.58646,9.67416,0.21753,0.81049,0.56292,0.38266,-0.14078,-0.12747,21.0,-20.448,-0.801,-40.912,78.037,-7.857,1.884,1.97,1001.695,15.526,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,2002,2016-09-12 09:41:17:780
0.71378,1.80333,10.80064,0.0045,1.04837,9.75045,0.81608,0.72687,-0.71828,-0.00375,0.08621,0.23557,19.55061,-22.632,3.755,-41.643,69.692,-6.078,-0.278,1.97,1001.689,39.7978,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,2502,2016-09-12 09:41:18:280
0.99579,1.88434,8.49344,0.12068,1.36343,9.71066,0.52187,-0.0395,-0.82464,-0.34627,0.30534,0.49713,15.54897,-23.245,0.325,-41.165,73.54,-9.168,-0.955,1.97,1001.679,31.5189,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,3003,2016-09-12 09:41:18:781
0.77307,0.95705,7.41484,0.76781,2.12254,9.54336,-0.74365,-1.10301,-1.94494,0.32245,0.21513,0.36705,15.0,-25.211,0.208,-38.342,70.177,-11.106,-5.223,1.97,1001.689,32.0442,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,3502,2016-09-12 09:41:19:280
-0.82326,0.005,11.87779,0.43027,1.7962,9.63114,-0.70753,0.19738,1.04386,-0.05887,0.27754,1.20345,15.0,-23.174,6.76,-38.646,56.804,-10.126,-2.507,1.97,1001.689,15.4652,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,4002,2016-09-12 09:41:19:780
4.40685,1.71486,11.98734,0.98758,1.58191,9.6277,1.30122,-0.17665,2.45963,0.13107,-0.03191,0.94609,13.0,-15.018,16.856,-39.043,25.172,-9.283,-5.857,1.97,1001.689,17.7897,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,4502,2016-09-12 09:41:20:280
1.70842,2.85184,8.3515,0.88241,1.82995,9.59391,0.44094,-1.18712,-0.91566,0.15511,-0.12558,0.40891,8.549,-10.559,16.301,-38.901,19.0,-10.123,-4.61,1.97,1001.679,40.8934,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,5002,2016-09-12 09:41:20:780
0.02684,1.99976,7.61324,0.39652,2.57398,9.45451,-0.87607,-1.33486,-1.57087,-0.32834,-0.02327,0.48473,6.0,-3.618,11.778,-40.724,4.46,-14.819,-3.171,1.97,1001.689,50.8577,48.234768,16.366447,,536.5879338864797,,,64.51613,,0 / 14,5502,2016-09-12 09:41:21:280
