ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.93571,1.83617,10.32164,0.29763,1.22374,9.72545,0.70512,0.87631,-0.36214,-0.18475,-0.04913,-0.07037,15.45036,-19.971,0.694,-42.909,69.845,-7.824,-1.536,1.97,1001.703,44.9184,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,5,2016-09-12 09:38:56:386
-0.6792,1.47963,9.80574,0.32559,2.01785,9.59128,-0.62198,-0.03436,-0.90076,-0.21632,-0.12199,0.15752,17.0,-20.512,-3.415,-41.713,72.709,-12.332,-1.627,1.97,1001.716,15.6737,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,505,2016-09-12 09:38:56:886
0.36479,1.10216,11.96536,0.26084,1.77543,9.64107,0.31841,0.71008,1.73857,0.12004,-0.21008,-0.38046,18.45104,-21.104,-0.43,-42.511,68.315,-10.431,-1.55,1.97,1001.719,37.258,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,1005,2016-09-12 09:38:57:386
0.41945,2.12849,9.27338,-0.0826,1.47874,9.69417,0.36916,0.36681,0.95333,0.12625,0.08459,-0.21179,20.0,-19.283,-2.077,-41.554,78.499,-8.034,0.119,1.97,1001.713,20.1394,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,1504,2016-09-12 09:38:57:885
-0.11714,2.23543,9.02478,-0.01279,1.45566,9.698,-0.1458,0.45954,-1.46939,0.23151,-0.06297,0.2168,20.0,-20.049,0.133,-41.522,74.229,-7.977,0.705,1.97,1001.729,41.5074,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,2004,2016-09-12 09:38:58:385
-1.28375,2.05084,8.03508,-0.38821,1.81761,9.62891,-0.92321,-0.58386,-0.85169,-0.16245,-0.00584,0.05032,18.0,-20.586,-2.805,-42.366,78.354,-10.681,2.309,1.97,1001.729,32.9696,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,2504,2016-09-12 09:38:58:885
-1.71507,0.75612,9.70993,-0.85216,1.93976,9.57505,-1.14339,-1.21312,-0.74832,-0.02274,0.40649,0.71321,14.54866,-19.756,1.186,-42.177,68.476,-11.443,3.977,1.97,1001.729,15.6101,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,3004,2016-09-12 09:38:59:385
-0.68309,-0.72496,14.16444,-0.46464,2.36247,9.50648,-1.58257,-2.11448,2.7381,0.47557,-0.09267,0.76973,13.0,-18.642,7.242,-42.764,51.369,-13.797,2.762,1.97,1001.729,16.9508,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,3504,2016-09-12 09:38:59:885
1.04292,2.03069,11.76756,0.23854,2.1978,9.55422,0.52237,-0.09773,1.42905,0.07149,0.18971,1.06197,12.55046,-12.514,16.165,-41.359,25.723,-12.951,-1.43,1.97,1001.729,28.7155,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,4004,2016-09-12 09:39:00:385
-0.25562,2.85844,9.69058,0.2709,1.90949,9.61514,0.28233,0.14861,-1.49308,-0.05386,0.06125,0.54909,9.5488,-6.648,17.247,-40.898,13.642,-11.476,-1.352,1.97,1001.729,43.9298,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,4504,2016-09-12 09:39:00:885
-0.48309,1.22044,7.78726,-0.14897,2.05729,9.58727,0.17108,-1.35821,-0.44541,-0.07448,0.14072,0.10452,6.0,-1.955,14.246,-40.466,6.772,-12.11,0.89,1.97,1001.739,45.4347,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,5004,2016-09-12 09:39:01:385
-0.88562,0.71355,9.18393,-0.72645,2.23424,9.52107,-0.75888,-1.05326,-2.54035,0.80441,0.05544,0.00749,6.0,5.824,16.293,-40.817,351.858,-11.681,3.567,1.97,1001.73,39.1707,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,5504,2016-09-12 09:39:01:885
-0.32451,-0.08026,13.32188,-0.74614,1.99843,9.57183,-0.51589,-1.35786,4.01852,-0.29276,0.0713,-0.25278,5.0,8.321,12.541,-41.272,347.125,-12.819,4.166,1.97,1001.726,40.0325,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,6005,2016-09-12 09:39:02:386
-1.09111,3.32338,8.97589,-0.3217,2.79748,9.39367,0.38228,0.432,2.43345,0.27487,0.30151,0.4729,6.0,7.007,10.652,-39.375,345.398,-16.575,1.961,1.97,1001.719,46.1418,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,6504,2016-09-12 09:39:02:885
-1.01994,3.26221,9.47441,-0.03644,2.74096,9.41574,0.09512,0.24636,1.5444,0.14314,-0.22124,-0.03798,5.0,7.957,11.186,-36.847,338.706,-14.918,0.219,1.97,1001.719,44.3118,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,7004,2016-09-12 09:39:03:385
0.17137,3.03052,10.14172,-0.44504,2.50414,9.47109,-0.02333,0.23848,-1.23761,-0.07108,0.01027,0.1311,6.0,15.228,10.129,-34.758,324.876,-14.969,2.788,1.97,1001.729,20.9635,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,7504,2016-09-12 09:39:03:885
-0.10254,2.83463,7.39871,-0.39601,2.66445,9.42944,0.24653,-0.87555,-0.15139,-0.02249,-0.28864,0.28458,21.51172,28.404,13.315,-32.631,310.679,-16.117,3.782,1.97,1001.719,43.2811,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,8004,2016-09-12 09:39:04:385
0.8709,1.59718,7.41391,-0.4947,2.67083,9.42297,1.22664,-1.07861,-1.68942,0.17374,-0.36351,-0.30278,43.54853,16.917,20.805,-38.687,335.053,-16.26,3.505,1.97,1001.719,30.3614,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,8505,2016-09-12 09:39:04:886
-0.89563,0.32539,10.44154,-0.68151,2.29413,9.51015,-0.81503,-0.74897,-0.00858,-0.3358,-0.18408,0.09146,43.0,12.289,18.745,-39.43,341.707,-13.529,4.099,1.97,1001.719,36.2184,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,9004,2016-09-12 09:39:05:385
0.20595,4.11763,9.15631,-0.67967,2.61947,9.42586,-0.07434,-0.1075,1.38933,0.5076,0.17018,-0.08475,43.0,10.828,17.415,-41.38,341.596,-13.714,3.093,1.97,1001.727,45.4922,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,9504,2016-09-12 09:39:05:885
-0.3344,3.06369,9.79088,-0.47342,2.25273,9.53265,0.56091,0.68494,0.70628,0.03348,-0.28746,-0.28856,44.45098,6.929,19.043,-41.257,350.279,-12.408,3.2,1.97,1001.719,26.3309,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,10004,2016-09-12 09:39:06:385
0.57912,2.51469,8.48859,0.07443,2.13484,9.57117,0.60828,-0.14431,-2.25541,-0.19247,-0.14922,0.08806,47.45143,4.065,17.407,-41.763,351.634,-13.216,0.21,1.97,1001.71,36.4457,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,10504,2016-09-12 09:39:06:885
-0.67484,0.95172,7.37955,-0.07547,1.75324,9.64836,-0.522,-1.12907,-1.33086,-0.19757,-0.05028,-0.29445,51.0,4.03,19.925,-42.525,351.796,-11.226,-0.047,1.97,1001.719,41.5751,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,11004,2016-09-12 09:39:07:385
-1.31129,0.42302,8.40555,-0.10402,1.79153,9.64106,-0.61837,-2.23201,2.43072,-0.37289,0.39606,-0.18303,57.45171,2.538,21.561,-42.262,353.198,-10.287,-0.649,1.97,1001.719,31.6986,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,11505,2016-09-12 09:39:07:886
1.54134,1.75398,12.08618,0.24689,1.83157,9.63093,0.5072,0.1407,-0.09026,-0.01984,-0.02449,-0.53429,62.45148,-2.638,23.892,-43.269,3.11,-10.806,-1.705,1.97,1001.719,43.4776,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,12005,2016-09-12 09:39:08:386
-0.42331,0.28218,9.35567,-0.64549,1.80108,9.6182,0.87983,-1.25075,0.29853,-0.19991,-0.72807,-1.77452,67.90335,-15.677,15.195,-45.563,39.103,-11.931,4.336,1.97,1001.719,36.9175,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,12504,2016-09-12 09:39:08:885
-1.9111,0.53297,11.03865,-0.5538,1.45635,9.68208,-1.22058,-0.82694,1.28477,0.20174,0.06458,-0.17384,61.6518,-24.097,4.922,-42.465,66.867,-8.91,3.169,1.97,1001.719,40.4158,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,13005,2016-09-12 09:39:09:386
-0.0934,2.42389,10.77835,-0.29418,1.13475,9.73633,-0.33903,1.45639,0.15655,0.18037,-0.04471,0.04689,52.09693,-26.259,5.754,-41.924,68.518,-6.645,1.731,1.97,1001.719,38.1459,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,13504,2016-09-12 09:39:09:885
0.04817,2.43402,8.53719,0.08547,1.51756,9.68814,-0.34746,0.29543,-0.58284,-0.04915,-0.01338,0.01797,45.0,-25.513,2.632,-40.138,70.128,-9.209,-0.107,1.97,1001.71,36.3969,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,14004,2016-09-12 09:39:10:385
-0.15184,1.13972,10.47992,-0.31134,2.16276,9.56012,-1.12823,-0.56364,-1.14578,0.2901,0.38385,0.41162,49.0,-24.364,2.562,-43.217,63.803,-13.207,2.018,1.97,1001.7,39.4743,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,14504,2016-09-12 09:39:10:885
0.25456,1.18571,9.84847,-0.04041,2.46214,9.49245,0.28262,-1.05233,1.62692,-0.14932,-0.13785,-0.45932,49.54897,-28.389,-2.769,-42.657,74.413,-14.541,0.244,1.97,1001.71,36.8622,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,15004,2016-09-12 09:39:11:385
-0.14069,2.38925,9.35797,-0.82958,1.98463,9.56783,-0.05408,0.33397,0.1361,0.27896,0.17905,0.32596,53.45182,-23.718,-2.679,-44.307,79.884,-10.712,4.367,0.0,1001.71,33.1482,48.23474,16.366472,,536.4097143980199,,,67.741936,,0 / 21,15504,2016-09-12 09:39:11:885
