ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.94272,1.95287,8.85649,0.2298,1.63386,9.66685,1.08733,0.46413,0.23282,-0.27191,-0.07812,-0.1684,15.4503,-20.653,1.019,-42.357,66.478,-10.662,-1.0,1.97,1001.729,44.1216,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,2,2016-09-12 09:38:19:761
-1.08052,0.0719,13.48828,0.40449,1.86945,9.61831,-2.0135,-0.10094,1.07951,-0.25206,-0.26297,0.21651,17.45017,-21.144,-2.235,-42.047,71.345,-11.508,-2.095,1.97,1001.747,18.2602,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,502,2016-09-12 09:38:20:261
0.19847,2.55814,8.97644,0.16205,1.92956,9.61358,-0.12878,0.33927,0.01325,0.18582,0.00908,-0.14554,18.0,-20.175,-0.868,-41.83,69.145,-11.348,-0.966,1.97,1001.749,39.5146,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,1002,2016-09-12 09:38:20:761
1.34267,2.06784,8.49233,0.41899,1.72396,9.64483,1.11513,-0.72871,-1.35915,-0.05699,-0.104,-0.00838,19.0,-21.826,0.15,-41.02,69.931,-10.328,-2.078,1.97,1001.739,27.5513,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,1502,2016-09-12 09:38:21:261
-0.8756,1.72305,8.04227,0.25302,2.05362,9.58588,-0.21206,-0.45887,-1.59279,-0.36087,-0.23064,0.20093,19.54924,-21.255,0.354,-41.479,65.227,-13.159,-0.864,1.97,1001.732,21.5335,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,2002,2016-09-12 09:38:21:761
1.24908,1.13834,5.27667,0.79632,2.1823,9.52753,0.93129,-0.99781,-3.82873,0.53206,-0.15216,-0.12074,17.54987,-23.305,3.276,-41.443,57.464,-12.858,-4.778,1.97,1001.729,30.285,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,2503,2016-09-12 09:38:22:262
-1.27115,1.11493,10.57599,-0.05673,2.20884,9.55449,-0.36152,-0.35087,0.44833,-0.16302,0.29692,-0.12451,14.0,-22.121,-0.626,-40.671,69.693,-13.017,0.34,1.97,1001.729,15.6129,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,3003,2016-09-12 09:38:22:762
-0.68719,1.86769,10.95383,-0.34941,1.99537,9.59514,0.33005,-0.60286,1.24734,0.17014,0.17569,-0.13628,14.0,-20.555,1.917,-41.092,65.721,-11.74,2.086,1.97,1001.729,22.1952,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,3502,2016-09-12 09:38:23:261
-0.43575,1.14742,8.70511,-0.10056,1.64817,9.66663,-1.43559,-0.98487,1.01876,-0.01793,0.18069,1.39658,14.0,-19.582,8.415,-41.449,54.181,-9.675,0.596,1.97,1001.729,17.0898,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,4002,2016-09-12 09:38:23:761
0.31042,2.4689,9.63069,0.33639,1.18121,9.72944,-0.06622,-0.2593,0.16601,-0.18793,0.37277,1.30092,14.0,-6.998,19.855,-42.578,10.973,-7.713,-2.697,1.97,1001.719,25.0533,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,4502,2016-09-12 09:38:24:261
0.48006,0.96106,6.73901,-0.00908,1.66018,9.6651,0.3297,-0.73876,-2.52088,-0.56601,-0.12883,0.2047,11.55165,-0.992,17.918,-42.81,3.323,-10.84,0.661,1.97,1001.729,30.2253,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,5002,2016-09-12 09:38:24:761
0.06502,-0.04539,11.325,0.23987,1.8868,9.62044,-0.99874,0.04251,0.10463,-0.30296,-0.03575,0.194,7.0,0.145,15.089,-40.596,357.693,-11.809,-1.299,1.97,1001.739,44.6956,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,5502,2016-09-12 09:38:25:261
0.28122,2.78447,10.95877,-0.01136,1.92611,9.61563,-0.22106,0.21544,1.79156,0.38173,0.08693,0.05693,6.0,4.712,15.59,-40.97,347.208,-9.83,-0.235,1.97,1001.729,43.605,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,6003,2016-09-12 09:38:25:762
-0.24643,1.65442,11.20093,-0.11337,1.53277,9.68546,0.58018,0.37659,0.40277,0.08871,0.11433,-0.05849,6.0,6.099,17.699,-39.426,346.336,-8.921,0.302,1.97,1001.727,34.1986,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,6502,2016-09-12 09:38:26:261
-0.5883,2.4549,8.49838,-0.26923,1.75996,9.64368,0.15032,-0.07318,-1.41706,0.15228,-0.23892,0.06018,5.0,9.341,13.11,-39.835,338.505,-10.339,1.599,1.97,1001.729,43.5797,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,7002,2016-09-12 09:38:26:761
-0.74333,1.29492,9.04327,-0.42016,1.79432,9.63194,-0.27115,-0.57564,-0.73351,-0.12936,-0.17172,-0.16042,6.0,8.958,12.378,-37.468,339.582,-11.056,2.993,1.97,1001.729,43.9013,48.23474,16.366472,,536.4097143980199,,,67.741936,,1 / 22,7502,2016-09-12 09:38:27:261
